"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"CXCR5",0.007,0.047,0.002,0.028,0.022,0.009,0.011,0.026,0.065,0.005,0.003,0.095,0.012
"ITGAE",25.044,6871.771,516.613,24.486,0.156,12544.209,1789372.817,5662412675.549,6.578,4.296,326508254.437,1.206,7.776
"CD69",5.812,10.507,1.654,597.643,0.613,4.548,12634.713,5.674,8120.306,1325.9,1538.454,5.08,14.339
"SELL",2802028384.243,429441.506,507041.714,2274075.086,2063300.508,2193764.206,37844622.906,1602827722.969,230773.265,27102646.746,695.155,1889706.358,8.871
"KLRB1",2.553,18.739,93.016,53.542,0.117,36.108,0.35,27900.401,188.773,26532.483,14434.988,0.017,0.021
"CTLA4",0.001,0.001,0.001,0.001,0,0,0,0.001,0,0,0,0,0
"LAG3",0.007,0.26,0.006,0.038,0.02,0.009,0.038,0.007,0.037,0.012,0.051,0.041,0
"KLRG1",0.132,335.134,0.708,75.329,36.538,0.934,170.672,16.935,26.513,2017.624,8591.267,2.728,9.673
"CD27",63142.94,82804.628,24198.178,119.212,5.123,9013.344,107812.987,22955.156,1.358,237.703,393.739,1114.96,4634.821
"LAMP1",0.032,0.774,0.18,0.606,0.135,0.192,0.065,0.047,0.074,0.044,0.177,2.183,0.104
"FAS",0.057,3.547,1.032,0.639,0.223,0.064,0.43,0.401,1.313,1.275,1.734,10.646,1.912
"TNFRSF4",0.002,0.002,0.002,0.001,0.002,0.002,0,0.003,0.002,0.001,0,0.007,0.006
"HLA-DRA",1.1,29.664,1.007,0.766,0.373,1.674,0.832,6.872,0.786,0.12,0.127,123809.755,0.788
"CD1C",0.098,0.09,0.083,0.325,0.915,56.454,0.029,0.061,0.12,0.056,0.02,198694972260.499,0.083
"ITGAM",0.044,0.145,115.961,0.374,0.124,0.102,0.067,0.045,0.219,0.107,0.037,154.264,0.049
"FCGR1A",0.068,0.162,6.941,0.332,0.053,0.037,0.035,0.05,0.057,0.034,0.02,11.425,0.034
"THBD",0.003,0.009,0.001,0.011,0.006,0.001,0.006,0.006,0.007,0.001,0.014,1.199,0
"CD1D",0.011,0.026,0.002,0.025,0.01,0.009,0.001,0.004,0.007,0.018,0,0.887,0
"KLRK1",0.029,0.125,0.204,0.509,0.015,0.067,0.11,0.167,0.542,0.005,0.006,0.24,0.414
"CR1",9.8,40.004,103.858,7.319,0.135,69.35,11.001,1949.4,0.952,0.165,6.735,255.231,0.068
"B3GAT1",2635.656,45.232,0.3,28747120.12,49644361.993,0.11,2.843,10.803,12715882.755,9920.355,0.161,11.385,1589.043
"BTLA",0.032,0.015,0.124,0.002,0.005,0.01,0.005,0.029,0.004,0.002,0.007,0.021,0.027
"ICOS",3.776,571.142,28.904,7.589,6.309,2.579,8.1,86.783,0.027,0.246,1.141,0.851,10.995
"CD58",0.005,0.089,0.003,0.127,0.057,0.013,0.066,0.005,0.05,0.063,0.105,0.755,0.032
"ENTPD1",9.221,6.095,198180.488,2431.631,0.209,0.108,0.674,0.612,0.117,0.029,0.164,426.841,0.74
"CX3CR1",0.001,0.003,0.002,0.011,0.015,0,0,0.002,0.008,0.019,0,0,0
"CD24",0.003,0.003,0.002,0.002,0.002,0.017,0.002,0.003,0.017,0.002,0.004,0.078,0
"CR2",214.353,2.67,6426.888,83.773,7.085,198.963,2.394,16871.57,6.326,8.48,0.034,111888.119,0.035
"ITGAL",28.646,32239.138,38.799,26377.321,30017.702,84.266,7164.419,25927530.344,11261.766,11279.29,12332.901,77093.719,18710.019
"CD79B",0.003,0.017,0.002,0.01,0.005,0.006,0.001,0.055,0.016,0,0,0.024,0
"CD244",0.139,6.292,0.489,12.201,3.192,0.137,3.08,1.511,27.592,6.49,7.131,14.289,4.364
"SIGLEC1",0.005,0.021,0.01,0.021,0.008,0.009,0.011,0.019,0.009,0.008,0.02,0.52,0.003
"ITGB7",73.158,6540.396,3.186,54.77,11.317,245.009,274.817,27.803,182.231,2.778,7378.306,3.4,51.782
"TNFRSF13C",0.025,0.035,0.029,0.047,0.037,0.036,0.024,0.058,0.033,0.032,0.017,0.85,0.015
"GP1BB",0.365,19.903,14.414,0.057,12.305,2.377,6.263,0.087,0.116,0.644,0.188,1.056,4.823
"ICAM1",1.321,82.063,5.254,10.717,0.3,0.171,68.199,1929.19,18.582,2.042,1.742,1943585.646,0.257
"SELP",1.206,149.027,3.03,1.423,1.584,0.069,9.529,3.162,0.115,0.313,0.217,17.271,193.741
"IFNGR1",0.006,0.207,0.018,0.051,0.01,0.009,0.011,0.031,0.025,0.186,0.099,0.123,0.032
"TCR-AB",5.639,25.768,34.019,2.935,15917.177,5.919,5.116,8.329,5.191,0.12,2.662,1.578,25.751
"Rat-IgG1",0.006,0.004,0.005,0.024,0.006,0.007,0.004,0.007,0.023,0.001,0.007,0.001,0
"Rat-IgG2a",0.006,0.004,0.006,0.002,0.004,0.007,0.01,0.006,0.006,0.004,0.011,0,0.007
"Hamster-IgG",0.014,0.007,0.012,0.003,0.586,0.004,0.008,0.002,0.004,0.008,0.046,0.003,0.019
"IL2RB",0.65,0.07,0.116,0.362,0.029,0.067,0.061,0.154,0.952,0.06,0.082,0.105,0.02
"TNFRSF13B",0.002,0,0,0,0.001,0,0,0,0,0,0,0.067,0
"FCER1A",0.355,0.097,0.006,1.917,0.002,0.004,0.006,0.001,0.004,0.003,0.002,0.419,0.019
"ITGA2B",2.147,7.978,0.236,1.725,0.622,0.085,1.849,2.629,0.092,2.301,0.01,5.471,42.281
"TNFRSF9",0.031,0.013,0.1,0.001,0,0.006,0.017,0.035,0.007,0.01,0.002,0.007,0.003
"CD163",0.011,0.019,0.036,0.025,0.017,0.021,0.018,0.035,0.058,0.018,0.041,0.176,0.031
"CD83",0,0,0,0,0,0,0,0.001,0.006,0,0,4.808,0
"IL4R",0.004,0.002,0.005,0.001,0.002,0.001,0,0.002,0.001,0.003,0,0.001,0
"ANPEP",0.603,2.078,0.179,0.116,0.043,0.055,221164.193,0.035,0.089,0.021,0.135,85.979,0.032
"CD2",3071.055,77140.359,39980.558,2563.634,5831.531,5840.28,18460.897,3689.04,1428.21,18682.551,101265.708,3944.313,33527.059
"CD226",0.018,0.113,0.046,0.03,0.068,0.034,0.114,0.008,0.048,0.022,0.037,0.16,0.144
"ITGB1",0.103,7.739,0.219,1.605,2.585,0.121,1.515,0.462,1.995,0.687,0.76,17.797,4.199
"CLEC4C",0.05,0.043,0.036,0.008,0.027,0.009,0.011,10.525,0.006,0.026,0,0.044,0
"ITGA2",0.609,3.293,0.976,0.198,0.433,0.222,0.427,0.81,0.085,0.118,0.082,5.275,10.199
"CD81",0.099,1.616,0.243,1.325,0.862,0.301,1.149,0.266,1.217,1.534,1.585,2.933,4.204
"IGHD",0.055,0.527,0.128,3503.682,20.713,0.124,0.137,0.369,0.094,0.121,0.048,107.635,0.005
"ITGB2",81.844,82085.334,326.622,159930.005,50029.919,254.362,198968.31,2181.79,19766.974,30842.476,29736.291,468727.161,85056.072
"CD28",20.745,72.303,20.112,0.476,0.015,0.751,1.296,14.486,0.109,109.994,412.621,0.136,5.578
"CD38",12.871,27.517,1970.019,172.141,2.774,4.662,43.422,14.163,31.289,4.091,1.955,9.781,11.128
"IL7R",2.089,0.031,3.958,0.02,0.004,0.86,0.376,2.244,0.033,0.472,0.982,0.618,0.001
"CD45",46.661,308.589,272.029,102.446,112.968,71.811,189.367,113.271,140.862,262.197,192.585,218.88,320.922
"CD22",0.267,1.844,0.559,860.062,6.8,0.341,0.219,0.328,0.133,0.039,0.075,113.767,0
"TFRC",0.095,52.717,0.487,3.23,0.251,0.792,0.148,0.985,38.503,1.078,0.133,135.192,0.678
"DPP4",0.66,1.629,24.244,0.278,0.051,4.113,4.389,107.753,0.022,53.484,818.591,0.822,0.348
"CD36",48.845,657.731,0.703,9.856,0.521,0.091,1.562,137.355,0.149,21.917,0.023,31.856,525.954
"KIR2DL1",0.055,60.578,0.203,126410.42,201.286,0.004,181.24,0.024,241.414,54.281,0.532,0.269,0.136
"ITGA1",3.806,1413624.27,58.971,7091.101,18020.797,39.506,29813.602,135.269,799942.47,316.76,3.826,204.064,678.117
"ITGA4",64.967,717.153,8.369,461.893,908.128,35.556,2501.306,57.564,320.195,240.556,1303.635,817.401,1519.303
"NT5E",55.467,0.034,2900.453,0.039,0.074,186.075,26.408,382.917,0.155,0.05,0.024,12.266,0.124
"TCR-vA7.2",89.314,585.256,23165275.591,0.888,2.703,6024.747,174.649,658455.324,2.249,0.048,733.627,0.264,2.686
"TCR-vD2",111.615,3.061,1.019,5.914,12.508,14.727,1.942,477.278,86.167,79857205581031728,0.116,34.888,0.115
"OLR1",0.247,0.059,0.012,0.007,0.005,0.005,0.014,0.005,0.008,0.005,0.012,28.57,0.034
"KIR2DL3",0.022,8.254,0.189,12678.091,3.076,0.018,10157.139,0.134,45.334,1.29,0,0.169,5.573
"KIR3DL1",1.057,2.543,84991136.917,5005.193,11.351,3.827,811.947,5221571.8,29033726344.372,173.581,0.045,0.433,7.78
"SLAMF7",0.004,0.052,0.143,0.025,0.006,0,0.002,0,0.019,0.038,0.161,14.043,0.005
"CD99",26.486,500639.678,52.841,32410.426,35787.937,7.178,296386.26,11404.599,171491.668,7608.452,653.392,1448.525,14393.58
"CLEC12A",1.249,54283.825,587.394,14845.323,453.35,2.282,1.594,0.359,0.681,0.152,2.766,9764499.878,0.385
"SLAMF6",0.342,3.845,1.421,2.079,1.494,0.663,2.198,0.991,2.383,5.477,4.441,0.601,5.097
"KLRD1",0.293,241.328,20.466,6473.275,394.909,7.151,8268.06,5.613,756.505,3351.551,4429.31,16.545,36.032
"IGKC",0.505,1.872,0.298,0.521,0.695,0.314,0.006,0.004,0.014,0,0.034,8.096,0.104
"LILRB1",0.001,0.001,0.001,0.004,0.006,0.013,0.001,0.001,0,0,0,0.03,0
"FCER2",0.001,0,0.003,0,0,0,0,0.001,0,0,0,0,0
"Human-Ig",0.192,0.999,0.401,0.346,0.87,0.187,0.004,0.008,0.008,0.003,0.029,4.54,0.154
"SIGLEC7",1.256,5638.991,276359575.452,25526.535,2.613,4.144,1.334,174.689,10.742,1207.574,6.33,76360733.931,0.191
"ADGRG1",0.292,504.813,4.445,812.99,853.911,58.073,51.117,0.99,1536.468,263.665,0.915,24.83,667.001
"HLA-E",0.045,0.039,0.221,0.011,0.016,0.027,0.01,0.064,0.013,0.051,0.045,0.264,0.153
"CD82",0,0.002,0.001,0.006,0,0.001,0,0.004,0.005,0.003,0.001,0.061,0
"CD101",38.271,297.822,34.036,34.012,26.427,69.976,201.611,1.379,12.204,1.151,2.043,48.362,110.174
"C5AR1",0.011,0.01,7.361,0.011,0.007,0.006,0.175,0.007,0.002,0.002,0.223,0.966,0
"GGT1",0.016,0.023,0.107,0.037,0.009,0.022,0.045,0.041,0,0.014,0.114,0.068,0.027
