cluster,direction,gene,avg_log2FC,padj
0_CD4_T_cell_HighvsLowVL_PreART,Up,ALDOA,0.614899302052623,3.71662435694307e-108
0_CD4_T_cell_HighvsLowVL_PreART,Up,KLF13,1.1659593919655,1.3675921386973e-106
0_CD4_T_cell_HighvsLowVL_PreART,Up,TAF1D,1.00450844202621,1.6350247685417297e-106
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMEM123,0.580388689552004,3.82834652151105e-105
0_CD4_T_cell_HighvsLowVL_PreART,Up,ACTN1,0.831177684308969,9.87859300707358e-104
0_CD4_T_cell_HighvsLowVL_PreART,Up,PPIB,0.705558369462917,5.52427365300305e-103
0_CD4_T_cell_HighvsLowVL_PreART,Up,SEC61G,0.776568917151123,2.2241392961760995e-96
0_CD4_T_cell_HighvsLowVL_PreART,Up,NOSIP,0.632212179037965,1.18243669177866e-93
0_CD4_T_cell_HighvsLowVL_PreART,Up,CALHM6,0.952131575924491,1.73442152608122e-92
0_CD4_T_cell_HighvsLowVL_PreART,Up,SLC3A2,1.28080360794034,4.7227723118690897e-91
0_CD4_T_cell_HighvsLowVL_PreART,Up,IL16,0.647545315450513,1.6504429489695e-89
0_CD4_T_cell_HighvsLowVL_PreART,Up,ARF1,0.678114658074815,1.7339163672867695e-89
0_CD4_T_cell_HighvsLowVL_PreART,Up,PSIP1,0.714589900040707,8.0827514399434e-89
0_CD4_T_cell_HighvsLowVL_PreART,Up,CNN2,0.793738160801047,6.058557232095261e-85
0_CD4_T_cell_HighvsLowVL_PreART,Up,P4HB,0.942570550956876,8.35053240908701e-84
0_CD4_T_cell_HighvsLowVL_PreART,Up,BNIP3,0.703901346828498,1.04423363572448e-83
0_CD4_T_cell_HighvsLowVL_PreART,Up,PHF1,1.1844812100206,2.54279371227921e-83
0_CD4_T_cell_HighvsLowVL_PreART,Up,JUN,1.49168972981572,1.47603188900159e-82
0_CD4_T_cell_HighvsLowVL_PreART,Up,VAMP2,0.598699986880961,2.2096790888338198e-82
0_CD4_T_cell_HighvsLowVL_PreART,Up,HERPUD1,1.42764052033363,2.22235254509885e-82
0_CD4_T_cell_HighvsLowVL_PreART,Up,R3HDM4,0.6241657207139,3.8846021853992e-79
0_CD4_T_cell_HighvsLowVL_PreART,Up,SEPTIN7,0.600689517156899,5.28210269623783e-79
0_CD4_T_cell_HighvsLowVL_PreART,Up,EPB41L4A-AS1,0.943277620694648,3.76954626517607e-78
0_CD4_T_cell_HighvsLowVL_PreART,Up,SMAP2,0.673418499116959,1.2881668610475398e-75
0_CD4_T_cell_HighvsLowVL_PreART,Up,DUSP1,2.55408673843614,5.402436982695749e-75
0_CD4_T_cell_HighvsLowVL_PreART,Up,HIST1H1E,1.08890083465272,6.709196683983709e-75
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD69,0.825152530675725,1.2559135987972e-74
0_CD4_T_cell_HighvsLowVL_PreART,Up,SIT1,0.851387574135092,4.02420988771327e-73
0_CD4_T_cell_HighvsLowVL_PreART,Up,SNHG1,0.905800930111072,8.95832372592505e-72
0_CD4_T_cell_HighvsLowVL_PreART,Up,CDKN2D,1.18125823201488,1.00723609987388e-71
0_CD4_T_cell_HighvsLowVL_PreART,Up,ANXA1,1.93769622493877,1.66966316958322e-71
0_CD4_T_cell_HighvsLowVL_PreART,Up,SLC2A3,0.7171840262494,9.81139842588403e-71
0_CD4_T_cell_HighvsLowVL_PreART,Up,AL137857.1,3.3983891260429,1.5606275745731399e-69
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD6,0.773787885532959,5.08163140664893e-69
0_CD4_T_cell_HighvsLowVL_PreART,Up,TUBA1A,1.13901432895031,6.24312882452896e-68
0_CD4_T_cell_HighvsLowVL_PreART,Up,ARRB2,0.750183403775403,1.2684520782678602e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,TECR,0.593275825362134,1.27890940104633e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,NDFIP1,0.629074908118575,1.6036775669314e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,HSP90B1,0.746413197651851,1.78715291069517e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,DDIT3,1.63112313058583,2.12733693847861e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,SAMD1,1.7541802627573,7.18379444054928e-67
0_CD4_T_cell_HighvsLowVL_PreART,Up,IGFBP2,0.734455924618209,1.48908550267438e-66
0_CD4_T_cell_HighvsLowVL_PreART,Up,IFITM3,1.45499934010084,4.6288871274207004e-66
0_CD4_T_cell_HighvsLowVL_PreART,Up,CCDC107,0.768196762142797,6.79701251539821e-66
0_CD4_T_cell_HighvsLowVL_PreART,Up,ZYX,0.86394662621583,1.3998341687359801e-65
0_CD4_T_cell_HighvsLowVL_PreART,Up,TRAM1,0.772821146989467,1.1901123948184e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,CDK2AP2,1.08245450460577,1.28269427703491e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,MXI1,0.711149076255699,3.15342586982101e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,CEBPB,0.991444423971984,3.4027757040520297e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,TRBJ2-2P,8.66180323687963,6.593051302120869e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,P4HA1,0.695712254902062,8.25003563492348e-64
0_CD4_T_cell_HighvsLowVL_PreART,Up,TNFAIP3,1.15305965180452,8.91941077352144e-62
0_CD4_T_cell_HighvsLowVL_PreART,Up,SLC2A4RG,1.11442228168866,6.11376140094799e-61
0_CD4_T_cell_HighvsLowVL_PreART,Up,MYC,0.600140053015922,8.94277703584397e-61
0_CD4_T_cell_HighvsLowVL_PreART,Up,CALR,0.643471715088775,1.02218952289909e-59
0_CD4_T_cell_HighvsLowVL_PreART,Up,SYNM,3.68237244412761,4.7696332523054205e-58
0_CD4_T_cell_HighvsLowVL_PreART,Up,WDR54,0.715808723354558,4.453425492074669e-56
0_CD4_T_cell_HighvsLowVL_PreART,Up,RETREG1,0.71674280099072,9.42644999495761e-56
0_CD4_T_cell_HighvsLowVL_PreART,Up,AC245407.2,1.58568362170093,1.79532489761936e-55
0_CD4_T_cell_HighvsLowVL_PreART,Up,LDLRAP1,0.752021639926683,1.83746968298389e-55
0_CD4_T_cell_HighvsLowVL_PreART,Up,RNF187,0.793422200506502,9.740246148531619e-55
0_CD4_T_cell_HighvsLowVL_PreART,Up,XIST,1.88859066425892,2.21117441177453e-54
0_CD4_T_cell_HighvsLowVL_PreART,Up,IDS,1.28649343667707,2.40528831462137e-53
0_CD4_T_cell_HighvsLowVL_PreART,Up,LIME1,0.934725304006409,4.16134173134342e-53
0_CD4_T_cell_HighvsLowVL_PreART,Up,GCHFR,1.24831555821218,6.2751744834451005e-53
0_CD4_T_cell_HighvsLowVL_PreART,Up,RHBDD2,1.50187458144904,3.2975529049952203e-52
0_CD4_T_cell_HighvsLowVL_PreART,Up,KDELR1,0.73263995541971,1.8503456309263902e-51
0_CD4_T_cell_HighvsLowVL_PreART,Up,PLP2,1.29540295303051,2.56209449783753e-51
0_CD4_T_cell_HighvsLowVL_PreART,Up,RASSF7,0.877018191154134,3.19855530619805e-51
0_CD4_T_cell_HighvsLowVL_PreART,Up,SSR3,0.954865174570523,1.11249874183633e-49
0_CD4_T_cell_HighvsLowVL_PreART,Up,VEGFA,0.916758684666523,2.4233226991582697e-49
0_CD4_T_cell_HighvsLowVL_PreART,Up,RGS19,0.982405746619693,4.14433681593443e-48
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMEM8A,1.56795419946765,4.3785252044850097e-48
0_CD4_T_cell_HighvsLowVL_PreART,Up,EIF2S3,0.613670155734906,5.84771354055202e-48
0_CD4_T_cell_HighvsLowVL_PreART,Up,GNG2,1.03370411207508,6.33481982206643e-48
0_CD4_T_cell_HighvsLowVL_PreART,Up,MT-ATP6,0.684996319081144,1.10608036521994e-47
0_CD4_T_cell_HighvsLowVL_PreART,Up,PIM1,0.655612093213852,1.98057023066403e-47
0_CD4_T_cell_HighvsLowVL_PreART,Up,SLC18A2,4.03005509734734,3.37479270526385e-47
0_CD4_T_cell_HighvsLowVL_PreART,Up,FAM118A,1.33115498236482,2.31289319179639e-45
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMED10,0.8513293085797,8.429102553929949e-45
0_CD4_T_cell_HighvsLowVL_PreART,Up,MTFP1,0.694370851754031,1.3529877736390798e-44
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATP6V0E2,0.920088901950253,2.04575888500373e-44
0_CD4_T_cell_HighvsLowVL_PreART,Up,RALGDS,0.84641602064519,4.52824976522145e-44
0_CD4_T_cell_HighvsLowVL_PreART,Up,EGLN1,0.667637126432888,8.609403713921429e-44
0_CD4_T_cell_HighvsLowVL_PreART,Up,SIPA1,0.801966155158387,1.7121494626076e-42
0_CD4_T_cell_HighvsLowVL_PreART,Up,SMAD7,2.20281583154826,2.8264868509242697e-42
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATXN2L,0.733241470757698,1.98237617148833e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,GZMA,0.966829169738425,2.1662264436454499e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,PDIA4,0.894823080250525,3.05967285516781e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,HECA,1.1673658728044,3.89673354243579e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,CSNK2A2,1.52571870071047,4.61963448158284e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,DNAJB1,0.805478834611916,4.83548218321271e-41
0_CD4_T_cell_HighvsLowVL_PreART,Up,RELA,0.692183694223036,1.36891041236597e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,PDE4D,0.686912756137256,1.752709913534e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,DHRS13,1.11111154449069,1.80772750879336e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,SQSTM1,0.659292194563309,1.86177366252437e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,UBASH3A,0.710671345345204,2.38193418302965e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,EXOSC8,0.776913680336774,8.07260611411184e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,FNBP4,0.603392683879027,9.00406827217039e-40
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMF1,0.908091780342801,1.57507752787853e-39
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMED9,0.761073471643986,1.67485565026621e-39
0_CD4_T_cell_HighvsLowVL_PreART,Up,SYTL3,1.66292075939554,1.82883554406154e-39
0_CD4_T_cell_HighvsLowVL_PreART,Up,TRAT1,0.621827896435505,8.574591275692661e-39
0_CD4_T_cell_HighvsLowVL_PreART,Up,H3-3A,10.1593135687142,1.19057060044758e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,ARF4,0.830374044357269,1.99246708733452e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,DHRS3,0.819338555070635,2.20579795804984e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,TALAM1,11.1120393814577,3.2068553541536e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,H3-3B,10.0169010645256,3.23177417160678e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,PLEKHF1,0.829186271201707,3.37613826250757e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,EIF4H,0.604340404721532,4.66634224632706e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,DEK,0.5881101969845,6.26356973008549e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,DNAJB9,1.25851407322791,6.74217201682288e-38
0_CD4_T_cell_HighvsLowVL_PreART,Up,MFNG,0.607558048745728,1.48082841813469e-37
0_CD4_T_cell_HighvsLowVL_PreART,Up,MANF,1.04099545942905,1.7805188891387401e-37
0_CD4_T_cell_HighvsLowVL_PreART,Up,TOB1,1.16660653807807,5.75776068188674e-37
0_CD4_T_cell_HighvsLowVL_PreART,Up,MBD2,1.08807659363419,1.32468328467218e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,U2AF1,2.06713555934577,1.89876116312195e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,MTRNR2L8,4.33763019475784,3.18571283045013e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,RRAGD,1.28860203510939,3.7838793110586996e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,CD99,0.697667689077164,4.1941200698454094e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,SPCS2,0.607176504115809,4.4463350719546794e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,CSRNP1,1.63034500514373,5.9423966753061595e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,HMGB2,0.754166002871538,8.22120165336961e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,RNF166,0.881946434342427,8.399112742010989e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,RALA,0.644071197803337,9.950210799981139e-36
0_CD4_T_cell_HighvsLowVL_PreART,Up,PPM1M,1.30566759926917,1.09125012412476e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,CHASERR,8.94931216232368,1.13596450576759e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,TCEA3,1.24356145418799,2.6361901971915396e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,VSIR,1.11299278814433,7.049817386454809e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,DNAJC3,1.26074301338098,7.375532201452839e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,BUD31,0.803889872044779,8.93820440218318e-35
0_CD4_T_cell_HighvsLowVL_PreART,Up,EMC9,1.52619169439539,2.37807800845557e-34
0_CD4_T_cell_HighvsLowVL_PreART,Up,ENSG00000289901,9.59945630099735,2.47450670483416e-34
0_CD4_T_cell_HighvsLowVL_PreART,Up,RASSF1,1.07339631725565,3.67974504716352e-34
0_CD4_T_cell_HighvsLowVL_PreART,Up,ZNF581,0.613881584098906,8.05085233060066e-34
0_CD4_T_cell_HighvsLowVL_PreART,Up,SLC43A3,2.01166399123969,9.75728017865537e-34
0_CD4_T_cell_HighvsLowVL_PreART,Up,ITM2C,1.14617279777827,1.58615078188368e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,SEC11C,0.855336328713807,1.9842446505929898e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,MED10,0.609488059371212,2.7747014861984898e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,SNRPA1,0.632121536928169,5.47173814673177e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,CSGALNACT2,0.846599303044774,5.9762037486481096e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,HCFC1R1,0.711674664538124,6.30150999925595e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,AQP3,0.589662534119778,9.811683834648209e-33
0_CD4_T_cell_HighvsLowVL_PreART,Up,CDV3,0.597316985241889,4.4321979787128e-32
0_CD4_T_cell_HighvsLowVL_PreART,Up,SDF2L1,1.05455106122412,7.14620410730631e-32
0_CD4_T_cell_HighvsLowVL_PreART,Up,LINGO1,7.4331992778428,8.851740006034499e-32
0_CD4_T_cell_HighvsLowVL_PreART,Up,CCND2,0.849470335960881,9.514834963450891e-32
0_CD4_T_cell_HighvsLowVL_PreART,Up,MKNK2,0.592956061356214,1.1051602864309799e-31
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMBIM1,0.97106868602679,1.2265930931927998e-31
0_CD4_T_cell_HighvsLowVL_PreART,Up,SH3BP1,0.692451108425813,2.2444685903826996e-31
0_CD4_T_cell_HighvsLowVL_PreART,Up,ITGB2-AS1,0.937631032648199,2.59643242000857e-31
0_CD4_T_cell_HighvsLowVL_PreART,Up,CMTM7,0.593146273802846,5.7797023020872896e-31
0_CD4_T_cell_HighvsLowVL_PreART,Up,ITGAE,0.824050337164386,1.25226830696027e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,SPCS3,0.795464409475396,1.89104943866158e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATP5MK,8.31175172225202,2.48726942762228e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,LRRFIP1,0.64092984230426,3.59759313548805e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,H4C3,8.35988703110785,4.6444520865485394e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,ADAM8,1.66242292665173,5.03655816562497e-30
0_CD4_T_cell_HighvsLowVL_PreART,Up,ENSG00000273149,9.73317165212509,1.64551810329252e-29
0_CD4_T_cell_HighvsLowVL_PreART,Up,PDIA6,0.711003190733416,3.0321976727953996e-29
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATP2B1-AS1,2.21190836058781,6.42871410731183e-29
0_CD4_T_cell_HighvsLowVL_PreART,Up,CFAP36,0.798106075822924,7.69698933727251e-29
0_CD4_T_cell_HighvsLowVL_PreART,Up,PBXIP1,0.614883569203594,2.54725747262537e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,ALOX5AP,0.899443290521746,2.7827580795957e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,EVI2B,0.752255805438734,3.74070472758321e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,AARS,1.04395769043325,3.8328187903862e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,PLIN2,0.683257488785182,4.92319247591201e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,ANP32E,0.604788209445275,5.12221278909003e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,LINC00869,8.18863215091446,5.5128214662531e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,CBX4,0.920433774498331,5.58354058162726e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,DBNDD2,1.18173919474259,7.630901904790979e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,H2AZ1,8.14571826865432,8.50560258208487e-28
0_CD4_T_cell_HighvsLowVL_PreART,Up,NUDT18,1.5172909939707,1.05453529589503e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,ANKRD37,0.742105168101448,1.06214850472932e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,YPEL4,2.92661870798595,1.3240474533242e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,UBE2M,0.607085840721841,1.69924779867905e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,EZR,0.732639644232661,1.7765093115502e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,FDFT1,0.586184186378581,1.98127192773034e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,SEC61A1,0.931318940090699,5.45504793890384e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,EEIG1,8.04406308052053,6.13312785844403e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,GRK6,0.653684910346021,7.39729502257645e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMUB1,0.583725634496045,8.75615561774718e-27
0_CD4_T_cell_HighvsLowVL_PreART,Up,UPP1,0.972057027983573,1.38520034067669e-26
0_CD4_T_cell_HighvsLowVL_PreART,Up,CTSD,0.625113649606983,2.18611833856902e-26
0_CD4_T_cell_HighvsLowVL_PreART,Up,H2AZ2,7.9822964257128,2.5180163994714298e-26
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATXN7L3B,0.811211259166907,5.81666846889701e-26
0_CD4_T_cell_HighvsLowVL_PreART,Up,POLR2J3,0.721318908522288,9.79684236772966e-26
0_CD4_T_cell_HighvsLowVL_PreART,Up,AKAP17A,0.646158401195936,1.2626228747104898e-25
0_CD4_T_cell_HighvsLowVL_PreART,Up,ENSG00000234961,8.30923580225476,1.3447137986195798e-25
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATF4,0.588235755221027,2.2903304807077696e-25
0_CD4_T_cell_HighvsLowVL_PreART,Up,BHLHE40,0.796789636692251,3.6512908698549997e-25
0_CD4_T_cell_HighvsLowVL_PreART,Up,BET1L,0.758994110558661,5.149032309914889e-25
0_CD4_T_cell_HighvsLowVL_PreART,Up,AC097534.2,0.773972445981477,1.1496698924739501e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,ZNF524,0.663504380693927,1.25760943311263e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,RNF145,0.628877059558717,1.29215571410406e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,KRAS,0.604315343061037,1.8888956401469202e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,BFAR,0.777394178275619,2.6686295566782302e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,TSPYL2,1.26692358475118,3.1279440550613902e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,AGTRAP,0.976765341247545,3.75042913903463e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,FAM49B,0.584813006483259,8.46073615849799e-24
0_CD4_T_cell_HighvsLowVL_PreART,Up,GPRIN3,0.773779408399137,1.0100319012937299e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,PRR7,1.03054519166316,1.1365340330404099e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,CISD2,0.614019254886341,1.43676565831717e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,SBDS,0.729031375203756,1.8571610573440698e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,ATP5MJ,7.52230856963455,1.9000680868202598e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,IQGAP1,0.683003337886024,2.0975645443788898e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,MYDGF,0.646887887546348,2.41357416592987e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,GARS,0.859426159060229,3.85472996422363e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,ZNRF1,0.890099324971317,3.9038460008951597e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,GPCPD1,0.798105963607696,5.35873612570775e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,STX5,0.788076932779619,5.514880288238759e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,MPI,0.634056969030341,7.897066553689739e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,MYLIP,1.05865563370303,9.192307566704589e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,IL4R,1.02041191642778,9.6350074504913e-23
0_CD4_T_cell_HighvsLowVL_PreART,Up,GPR183,0.775670863245249,1.06009664871804e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,TMC6,0.666444018276777,1.11887114114645e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,THEM6,1.01128340782328,1.1555629844887e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,MAGED2,0.738390823421117,1.3404700197933299e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,ABCG1,2.69441003822014,1.73594322804407e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,NFKBIZ,0.723730887766277,1.9147784035651899e-22
0_CD4_T_cell_HighvsLowVL_PreART,Up,MAP2K3,0.893077705974695,2.3995099953104097e-22
