comparison,cluster,module,test,mode_note,n_total,n_groupA,n_groupB,n_paired,estimate,estimate_type,ci_lower,ci_upper,statistic,p_value,p_adj
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_ExhaustionMarkers_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.009217621037002788,HL_shift,-0.010893049198064943,0.04054912708857815,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_GutTranslocation_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,9.095889353789004e-4,HL_shift,-0.016890618110899612,0.03539208415546326,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_IL10_STAT3_Myeloid_M2_Hue,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-8.872518096123659e-4,HL_shift,-0.005228699763096393,0.00528287454430574,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_IL10_STAT3_ReceptorsTransducers,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.07863446047169821,HL_shift,-0.24063295844016996,0.13617267570507235,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_IL10_STAT3_TFH_Adjacent_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.025000432635095896,HL_shift,-0.13823200370320077,0.06815245541886328,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_IL10_STAT3_Treg_Overlap,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.02499424423317887,HL_shift,-0.012548746178947016,0.05726966565074292,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_ISG_TypeI,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.03258857323448272,HL_shift,-0.11094723592851724,0.22831741997329516,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_ISG_TypeII,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.0380092552172937,HL_shift,-0.215161613546829,1.0917549448913624,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_ImmuneActivation_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.008756151384894436,HL_shift,-0.017652648456033086,0.05817716532398357,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Myeloid_DC_Maturation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.007175423520450785,HL_shift,-0.12341071882744531,0.13106215364273296,11,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Myeloid_Inflammatory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.02674223246065363,HL_shift,-0.10490603098625682,0.13325962484408105,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Myeloid_Regulatory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.061760524731200195,HL_shift,-0.19594646508960623,0.03091366252587217,4,0.12578642463893996,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_NK_Activation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.006392427771843099,HL_shift,-0.014591484811988058,0.03561488541420224,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_NK_Effector,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.03581884600107979,HL_shift,-0.0013257879893949988,0.08695206951959045,21,0.08273102231510242,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_NK_Inhibition,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.02771062042062134,HL_shift,-0.025336112162681616,0.08162071128970386,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Reservoir_CD4_Reservoir_Memory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.04615507102443296,HL_shift,-0.25964386347489876,0.16438973156322942,13,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Reservoir_CD4_Tfh_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.029688747050874292,HL_shift,-0.04954672462686653,0.15708465596816684,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_Reservoir_CD4_Tph_Discriminator,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.04839682268834629,HL_shift,-0.028750720633755764,0.19514401872178733,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_SenescenceMarkers_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.011836051294985226,HL_shift,-0.017178463617363766,0.0580239408399507,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_TGFb_Downstream,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.013761308615884708,HL_shift,-0.03602186725143979,0.056848053348546784,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_TGFb_Noncanonical,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.0393913061822422,HL_shift,-0.1589657600244685,0.06802026372024245,7,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_TGFb_ReceptorsLigands,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.018146731208027234,HL_shift,-0.15180152953680853,0.054204246454555335,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",0: CD4 T cell,MS_TGFb_SMAD_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.0032638276498122834,HL_shift,-0.228014532655976,0.03765208344330382,12,1,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.014849506997361072,HL_shift,-0.10026003990532273,0.04604188888451837,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.015643439103047996,HL_shift,-0.047938078908555226,0.02511599391986385,7,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.012367069942325878,HL_shift,-0.07300058360636034,0.03131405733981246,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.052330897679781975,HL_shift,-0.20018418188401893,0.041691605626268405,5,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.01578441197226309,HL_shift,-0.0833822793047997,0.0313725175605193,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.002461403699961248,HL_shift,-0.0817226580913217,0.05224821932913794,12,1,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.004107304080575237,HL_shift,-0.04658813028994675,0.01600949240674344,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.001646973480572756,HL_shift,-0.04970792212981662,0.04953642323788604,13,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.053577751070793905,HL_shift,-0.33295690496711294,0.21357169099210904,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.005858443681140173,HL_shift,-0.10939421902572467,0.04558174461829863,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.00957500608862694,HL_shift,-0.2493268200746564,0.03012781152567882,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Autophagy_mTORC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.009017943578473471,HL_shift,-0.045192981372829455,0.026055553115641502,12,1,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Bcell_Atypical_ABC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,8.039901717365183e-4,HL_shift,-0.03238862854291491,0.031050641862032553,12,1,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Bcell_GC_like,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.007396078150322779,HL_shift,-0.159658239677998,0.05257693251188539,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Bcell_Plasmablast,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.0037615631112914243,HL_shift,-0.05116810024034933,0.07520944124826924,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_CD8_Effector,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.010545776034676456,HL_shift,-0.1400249290661792,0.06177198734968383,11,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_CD8_Exhaustion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.019212967779063145,HL_shift,-0.08480135674277449,0.048732854232776075,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_CD8_Memory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.02589233705071417,HL_shift,-0.24069167283102852,0.272234541161577,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Cytokines_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.007189339133799762,HL_shift,-0.016664262188939804,0.07176674861345865,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_ExhaustionMarkers_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.006897406828809282,HL_shift,-0.07005325455946744,0.053835029940909634,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_GutTranslocation_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-7.241590420283706e-4,HL_shift,-0.017974454083133175,0.03462769819048789,12,1,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_IL10_STAT3_Myeloid_M2_Hue,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.0022789588174383845,HL_shift,-0.0025945793439816865,0.008327825766606728,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_IL10_STAT3_ReceptorsTransducers,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.0452540573563123,HL_shift,-0.16004831659234833,0.05285367811738277,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_IL10_STAT3_TFH_Adjacent_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.022055100436693155,HL_shift,-0.07661378756940715,0.13231367370859975,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_IL10_STAT3_Treg_Overlap,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.015392833763354452,HL_shift,-0.06670969091658645,0.02875617336670804,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_ISG_TypeI,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.024106649932337753,HL_shift,-0.11199870325916443,0.2817818572814432,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_ISG_TypeII,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.05234518268271667,HL_shift,-0.2395067735723665,0.8655319034274053,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_ImmuneActivation_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.020176595115512053,HL_shift,-0.018209680337673007,0.0477227722200008,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Myeloid_DC_Maturation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.01940333187525727,HL_shift,-0.14851067873432683,0.09001256248533994,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Myeloid_Inflammatory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.010320328347404104,HL_shift,-0.05233165374506219,0.13748987798681833,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Myeloid_Regulatory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.061119496794278874,HL_shift,-0.20338963829918888,0.03738800507419289,3,0.08273102231510242,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_NK_Activation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.002291524510639289,HL_shift,-0.08580301346558716,0.03730056487950766,11,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_NK_Effector,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.016430741621040863,HL_shift,-0.17033073996983367,0.0893050596015793,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_NK_Inhibition,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.01026380661413216,HL_shift,-0.02177438186065364,0.05706221267998093,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Reservoir_CD4_Reservoir_Memory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.02589233705071417,HL_shift,-0.24069167283102852,0.272234541161577,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Reservoir_CD4_Tfh_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.01851618185371618,HL_shift,-0.12065065453088131,0.15062562847064215,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_Reservoir_CD4_Tph_Discriminator,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.030966843589316534,HL_shift,-0.1472105042986862,0.2082509470389316,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_SenescenceMarkers_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.014729483248935908,HL_shift,-0.059054964724055053,0.05764956323532596,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_TGFb_Downstream,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.02236850601995336,HL_shift,-0.09049477624076277,0.09463878658042751,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_TGFb_Noncanonical,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.05465430950361825,HL_shift,-0.16507190417735068,0.06565575751706919,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_TGFb_ReceptorsLigands,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.01298985003009241,HL_shift,-0.2668344283120179,0.019372366769275392,5,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",10: Memory CD4 T helper,MS_TGFb_SMAD_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.02002739727811056,HL_shift,-0.17195026651071943,0.04705597505586376,19,0.1845725528398829,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_AdhesionMolecules_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.047830179849725624,HL_shift,-0.12157306784443081,0.023856145988350015,4,0.12578642463893996,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_AMPK,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.006668560922195717,HL_shift,-0.06396128001489898,0.021643393963178943,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_CLEAR_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.03163282610898899,HL_shift,-0.0718805484075266,0.050693262243214264,3,0.08273102231510242,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Cargo,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.09705967430793205,HL_shift,-0.2583769768644234,0.05865932404253399,6,0.26157223601394936,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Conjugation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,7.539441377102842e-4,HL_shift,-0.07201450915484209,0.05216429396991261,13,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Fusion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.05269276150508088,HL_shift,0.007245421005705727,0.09879456815522146,24,0.01890354301112135,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Initiation,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.016138653966321692,HL_shift,-0.034221601169819586,0.05711393552788018,15,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Lysosome,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.006691660604134779,HL_shift,-0.10875756202586565,0.10669582417989704,14,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Mitophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.11138625799452576,HL_shift,-0.3318035970489383,0.23058442432106435,7,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_Xenophagy,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.03486318126256945,HL_shift,-0.13385819103219093,0.015168748243905232,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_cGAS_STING,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.012872639031999568,HL_shift,-0.060855615303431226,0.049248269632061775,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Autophagy_mTORC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,3.834289969073604e-4,HL_shift,-0.05188947161108397,0.03807767554858185,12,1,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Bcell_Atypical_ABC,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.007558820874370188,HL_shift,-0.08346165262925165,0.09804437572794117,12,1,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Bcell_GC_like,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.027693040976577276,HL_shift,-0.09699599757060878,0.19734573746377593,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Bcell_Plasmablast,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.004025422624950214,HL_shift,-0.07395478071518224,0.12108830366849221,12,1,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_CD8_Effector,wilcoxon_unpaired,No paired PIDs,11,8,3,0,7.284606186587527e-4,HL_shift,-0.018378891945301176,0.03349166403544775,12,1,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_CD8_Exhaustion,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.00647228135680372,HL_shift,-0.02770604657516065,0.021443035639938945,16,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_CD8_Memory,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.03839533307867201,HL_shift,-0.29576172321795613,0.09887091374919119,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_Cytokines_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.01477431096870384,HL_shift,0.0013704904288532912,0.08386288783698004,23,0.03208873397823127,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_ExhaustionMarkers_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.010299774584055905,HL_shift,-0.015522293741394312,0.029665709467784775,17,0.3583264667488803,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_GutTranslocation_Core,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-8.041535881741472e-4,HL_shift,-0.023124388213766552,0.020571109782199424,11,0.9187074054282888,1
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_IL10_STAT3_Myeloid_M2_Hue,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.0033506233178669134,HL_shift,-0.010777222717529053,0.0033325400967192586,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_IL10_STAT3_ReceptorsTransducers,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.024004157404395446,HL_shift,-0.1691505625034225,0.08467545213227029,9,0.6098340436734594,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_IL10_STAT3_TFH_Adjacent_TFs,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.022211692114477845,HL_shift,-0.13700977839763648,0.12304208107737116,10,0.7594628653799336,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_IL10_STAT3_Treg_Overlap,wilcoxon_unpaired,No paired PIDs,11,8,3,0,-0.012675660352794651,HL_shift,-0.09804574622780082,0.041426985533618454,8,0.4749585398895067,0.9959058091958094
"High vs Low VL (Entry, HEI)",11: Naïve B cell,MS_ISG_TypeI,wilcoxon_unpaired,No paired PIDs,11,8,3,0,0.017212820698089874,HL_shift,-0.13764766074137172,0.5006835971310779,13,0.9187074054282888,1
